policy,fraction,cumulative_gain,centered_qini,unit,sample_scope
response,0.0,0.0,0.0,incremental_conversions_per_test_row,held_out_test
response,0.009999674661997053,0.0005467865595741813,0.0005356731338203698,incremental_conversions_per_test_row,held_out_test
response,0.01999970683828306,0.0007077380904437265,0.000685510841602326,incremental_conversions_per_test_row,held_out_test
response,0.029999739014569066,0.0007750348977759151,0.0007416938258469257,incremental_conversions_per_test_row,held_out_test
response,0.03999977119085507,0.0008507438060246299,0.0008062889110080515,incremental_conversions_per_test_row,held_out_test
response,0.04999980336714108,0.0009035998401167864,0.000848031122012619,incremental_conversions_per_test_row,held_out_test
response,0.05999983554342708,0.0009191622268123497,0.0008524796856205933,incremental_conversions_per_test_row,held_out_test
response,0.06999986771971309,0.0009533714372062128,0.0008755750729268675,incremental_conversions_per_test_row,held_out_test
response,0.0799998998959991,0.000984075605551525,0.0008951654181845908,incremental_conversions_per_test_row,held_out_test
response,0.0899999320722851,0.000995852546834657,0.0008958285363801339,incremental_conversions_per_test_row,held_out_test
response,0.0999999642485711,0.0010095923116649785,0.0008984544781228664,incremental_conversions_per_test_row,held_out_test
response,0.10999999642485711,0.001026276311816084,0.000904024655186383,incremental_conversions_per_test_row,held_out_test
response,0.11999967108685416,0.00103763264805339,0.0009042675656698773,incremental_conversions_per_test_row,held_out_test
response,0.12999970326314017,0.001056139270069743,0.0009116603645986415,incremental_conversions_per_test_row,held_out_test
response,0.13999973543942618,0.001053195034748957,0.0008976023061902666,incremental_conversions_per_test_row,held_out_test
response,0.14999976761571218,0.0010471663624254449,0.0008804598107791655,incremental_conversions_per_test_row,held_out_test
response,0.1599997997919982,0.0010475869674712694,0.000869766592737401,incremental_conversions_per_test_row,held_out_test
response,0.1699998319682842,0.0010523538246572988,0.0008634196268358415,incremental_conversions_per_test_row,held_out_test
response,0.1799998641445702,0.0010607659255738226,0.0008607179046647764,incremental_conversions_per_test_row,held_out_test
response,0.1899998963208562,0.0010679162113528679,0.0008567543673562326,incremental_conversions_per_test_row,held_out_test
response,0.1999999284971422,0.0010724026651750137,0.0008501269980907895,incremental_conversions_per_test_row,held_out_test
response,0.20999996067342822,0.0010816559761831906,0.0008482664860113775,incremental_conversions_per_test_row,held_out_test
response,0.21999999284971422,0.0010869836400969892,0.0008424803268375872,incremental_conversions_per_test_row,held_out_test
response,0.22999966751171128,0.0010869836400969884,0.0008313669010837747,incremental_conversions_per_test_row,held_out_test
response,0.23999969968799728,0.0010843198081400874,0.0008175892460392848,incremental_conversions_per_test_row,held_out_test
response,0.2499997318642833,0.0010817961778651292,0.0008039517926767376,incremental_conversions_per_test_row,held_out_test
