outcome,capacity,estimand_type,name,estimate,bootstrap_standard_error,ci_lower,ci_upper,bootstrap_replicates,selected_rows,selected_fraction_exact,sample_scope,unit,test_cohort_incremental_count_estimate,test_cohort_incremental_count_ci_lower,test_cohort_incremental_count_ci_upper,count_unit,quantity_type
conversion,0.2,contrast,t_learner_minus_response,-0.00011787467395531963,3.5875965951572355e-05,-0.00018368621256551666,-4.745708899011087e-05,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,-329.70618964835893,-513.7870519910936,-132.7417965004382,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.5,contrast,t_learner_minus_response,-9.892537389925339e-05,3.444687251098257e-05,-0.00016282068486645856,-2.898992997215226e-05,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,-276.70327300523655,-455.42427225380743,-81.08747221573734,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,1.0,contrast,t_learner_minus_response,0.0,0.0,0.0,0.0,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,0.0,0.0,0.0,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.05,contrast,dr_learner_minus_response,-0.00021547597944163632,3.552956349714126e-05,-0.0002813574732748495,-0.00014480191491449945,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,-602.705922812386,-786.9824562798221,-405.0241329901122,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.1,contrast,dr_learner_minus_response,-0.00029677360094528167,3.949554615965994e-05,-0.00037478605980366495,-0.0002181217452247874,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,-830.1027682416388,-1048.310714802293,-610.1063704725458,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.2,contrast,dr_learner_minus_response,-0.0003472081407457524,4.177493620503209e-05,-0.0004305686652331112,-0.000267039459642637,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,-971.1727656066773,-1204.3397384055484,-746.9336692112831,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.5,contrast,dr_learner_minus_response,-0.0002626849593168896,3.932244258656102e-05,-0.00034203072413306954,-0.0001824633707518584,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,-734.7537355406381,-956.6910601960916,-510.36665215968634,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,1.0,contrast,dr_learner_minus_response,0.0,0.0,0.0,0.0,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,0.0,0.0,0.0,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.05,contrast,response_minus_random,0.003008556058915265,0.0001479843331738296,0.00271796642158383,0.0033019413680903833,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,8415.205075387357,7602.399416114336,9235.830483213298,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.1,contrast,response_minus_random,0.0045628461433884545,0.00018651997352266071,0.0042174767326623955,0.004937427330986829,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,12762.695882056556,11796.666211639393,13810.433550657282,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.2,contrast,response_minus_random,0.004951289858892852,0.0002045414749927996,0.004563459923328735,0.005352677487449179,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,13849.208302700466,12764.412680403495,14971.926026046713,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.5,contrast,response_minus_random,0.0034164093848466745,0.00014047399574324774,0.003137821330794277,0.0036823650657352856,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,9556.00794267017,8776.771803972695,10299.910184082575,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,1.0,contrast,response_minus_random,0.0,0.0,0.0,0.0,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,0.0,0.0,0.0,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.05,contrast,t_learner_minus_random,0.003189974155832281,0.0001417110875554704,0.0029104156007353508,0.003472164499521335,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,8922.64800151107,8140.697283076443,9711.96007213063,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.1,contrast,t_learner_minus_random,0.0043424980410830556,0.0001753284116699109,0.00398829685000071,0.004681128902513642,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,12146.362188231045,11155.629224465336,13093.543523060784,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.2,contrast,t_learner_minus_random,0.004585913067797735,0.0001825444154527509,0.00421985319661273,0.004937164908213214,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,12827.216168719435,11803.313397566699,13809.699530279006,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.5,contrast,t_learner_minus_random,0.002834290466442247,0.00013251360314441027,0.002570518820090857,0.003089542003160701,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,7927.768355071411,7189.975057006755,8641.730131162769,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,1.0,contrast,t_learner_minus_random,0.0,0.0,0.0,0.0,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,0.0,0.0,0.0,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.05,contrast,dr_learner_minus_random,0.0010449841683392307,0.00012298612970314685,0.0007872465009663197,0.0012789360563245907,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,2922.915812404147,2202.000102634384,3577.3005327210058,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.1,contrast,dr_learner_minus_random,0.001048033700209088,0.00012921754279200177,0.000786767090605963,0.0012949174677691741,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,2931.445630551538,2200.6591482301237,3622.001994839947,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.2,contrast,dr_learner_minus_random,0.0010508576778341554,0.00013868095697162542,0.0007591328944637005,0.0013042668686854301,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,2939.344552950816,2123.3637869083664,3648.1531199981982,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.5,contrast,dr_learner_minus_random,0.0007109911700810766,0.00013838616970142495,0.0004262461727759515,0.0009779431371665535,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,1988.7070029132487,1192.249333656059,2735.3959474803323,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,1.0,contrast,dr_learner_minus_random,0.0,0.0,0.0,0.0,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,0.0,0.0,0.0,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.05,contrast,t_learner_minus_response,0.00018141809691701654,9.556221228946786e-05,-1.5931712385089853e-07,0.0003714485538515689,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,507.4429261237147,-0.44562449326923365,1038.9754069412388,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.1,contrast,t_learner_minus_response,-0.00022034810230539895,0.00011662755513051135,-0.0004626594553323778,1.5815626978663313e-05,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,-616.3336938255106,-1294.100598575096,44.23774788137634,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.2,contrast,t_learner_minus_response,-0.0003653767910951171,0.0001299098282983661,-0.0006255563569854559,-0.00012038676933019289,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,-1021.9921339810321,-1749.7380561168059,-336.73274901255854,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.5,contrast,t_learner_minus_response,-0.0005821189184044276,0.00011506751525856314,-0.0008128368406292107,-0.00034008181908539445,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,-1628.2395875987586,-2273.5786113923996,-951.239795427385,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,1.0,contrast,t_learner_minus_response,0.0,0.0,0.0,0.0,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,0.0,0.0,0.0,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.05,contrast,dr_learner_minus_response,-0.001963571890576034,0.00010560014187924337,-0.0021670976362053417,-0.0017538465833583808,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,-5492.289262983209,-6061.569294351235,-4905.668493692477,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.1,contrast,dr_learner_minus_response,-0.0035148124431793664,0.00016853865695340778,-0.003847462016962148,-0.0031902991357232115,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,-9831.250251505016,-10761.701380486671,-8923.556999839173,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.2,contrast,dr_learner_minus_response,-0.0039004321810586964,0.0002095140643550413,-0.00434749534760035,-0.003507975260557218,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,-10909.86374974965,-12160.340109314811,-9812.12602952725,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,0.5,contrast,dr_learner_minus_response,-0.002705418214765598,0.00018336959421342663,-0.0030619624095993407,-0.0023458692846953146,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,-7567.300939756921,-8564.58749822863,-6561.609863397703,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
visit,1.0,contrast,dr_learner_minus_response,0.0,0.0,0.0,0.0,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,0.0,0.0,0.0,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
